Designator,Mid X,Mid Y,Rotation,Layer
C1,155.829,-100.203,180.0,top
C2,150.241,-114.554,180.0,top
C3,136.738,-111.252,270.0,top
C4,132.588,-111.252,270.0,top
C5,156.083,-112.141,270.0,top
D1,158.242,-107.823,90.0,top
D2,161.29,-107.823,90.0,top
D3,129.794,-111.9885,90.0,top
F1,114.046,-44.831,270.0,top
F10,150.371,-44.831,270.0,bottom
F11,155.448,-44.831,270.0,top
F12,155.448,-44.831,270.0,bottom
F2,114.046,-44.831,270.0,bottom
F3,119.126,-44.831,270.0,top
F4,119.126,-44.831,270.0,bottom
F5,124.206,-44.831,270.0,top
F6,124.206,-44.831,270.0,bottom
F7,145.288,-44.831,270.0,top
F8,145.288,-44.831,270.0,bottom
F9,150.368,-44.831,270.0,top
IC1,154.559,-107.823,270.0,top
J1,119.126,-52.197,0.0,top
J2,103.505,-52.197,0.0,top
J3,150.368,-52.197,0.0,top
J4,164.719,-97.409,270.0,top
J5,134.747,-52.197,0.0,top
J6,119.253,-101.092,0.0,top
L1,145.415,-107.95,180.0,top
Q1,99.06,-68.892,0.0,top
Q10,141.24,-83.373,0.0,top
Q11,153.67,-68.892,0.0,top
Q12,152.67,-83.373,0.0,top
Q2,98.06,-83.373,0.0,top
Q3,109.855,-68.892,0.0,top
Q4,108.855,-83.373,0.0,top
Q5,120.65,-68.892,0.0,top
Q6,119.65,-83.373,0.0,top
Q7,131.445,-68.892,0.0,top
Q8,130.445,-83.373,0.0,top
Q9,142.24,-68.892,0.0,top
R1,152.527,-112.141,90.0,top
R10,112.776,-82.423,0.0,top
R11,109.855,-87.884,90.0,top
R12,123.571,-84.201,180.0,top
R13,123.571,-82.423,0.0,top
R14,120.65,-87.884,90.0,top
R15,134.366,-84.201,180.0,top
R16,134.366,-82.423,0.0,top
R17,131.445,-87.884,90.0,top
R18,145.161,-84.201,180.0,top
R19,145.161,-82.423,0.0,top
R2,154.305,-112.141,90.0,top
R20,142.24,-87.884,90.0,top
R21,156.591,-84.201,180.0,top
R22,156.591,-82.423,0.0,top
R23,153.67,-87.884,90.0,top
R24,163.957,-104.902,180.0,top
R25,131.445,-106.299,180.0,top
R3,159.131,-115.189,270.0,top
R4,159.131,-112.141,90.0,top
R5,160.909,-112.141,270.0,top
R6,101.981,-84.201,180.0,top
R7,101.981,-82.423,0.0,top
R8,99.06,-87.884,90.0,top
R9,112.776,-84.201,180.0,top
SW1,155.448,-131.318,0.0,bottom
SW2,110.998,-123.86,0.0,top
SW3,130.048,-123.86,0.0,top
SW4,149.098,-123.86,0.0,top
U1,101.854,-101.6,90.0,top
